index,current_price,make,model,year,title_status,mileage
547,6900,honda,mpv,2017,clean vehicle,44129.0
548,11030,jeep,mpv,2019,clean vehicle,10861.0
549,3460,hyundai,door,2012,clean vehicle,142106.0
550,18000,mercedes-benz,door,2015,clean vehicle,82411.0
551,3250,hyundai,door,2015,clean vehicle,111612.0
552,3210,nissan,doors,2017,clean vehicle,35251.0
553,13200,chevrolet,door,2017,clean vehicle,50408.0
554,27705,ford,f-150,2019,clean vehicle,15630.0
555,7200,chevrolet,door,2017,clean vehicle,53273.0
556,28714,ford,f-150,2019,clean vehicle,14786.0
557,11200,chevrolet,door,2017,clean vehicle,85315.0
558,27502,ford,f-150,2019,clean vehicle,16146.0
559,11900,chevrolet,door,2017,clean vehicle,76211.0
560,29314,ford,f-150,2019,clean vehicle,15265.0
561,11200,chevrolet,door,2017,clean vehicle,79965.0
562,27002,ford,f-150,2019,clean vehicle,16059.0
563,13200,chevrolet,door,2017,clean vehicle,62739.0
564,28214,ford,f-150,2019,clean vehicle,15569.0
565,12700,chevrolet,door,2017,clean vehicle,58932.0
566,29900,ford,f-150,2019,clean vehicle,17488.0
567,12700,chevrolet,door,2017,clean vehicle,60733.0
568,27202,ford,f-150,2019,clean vehicle,18550.0
569,13500,chevrolet,impala,2018,clean vehicle,53194.0
570,27705,ford,f-150,2019,clean vehicle,17644.0
571,14700,chevrolet,van,2016,clean vehicle,34454.0
572,29900,ford,f-150,2019,clean vehicle,17684.0
573,4500,chevrolet,door,2015,clean vehicle,83279.0
574,27705,ford,f-150,2019,clean vehicle,16600.0
575,8000,chevrolet,door,2015,clean vehicle,107971.0
576,25511,ford,f-150,2019,clean vehicle,17801.0
577,7700,chevrolet,colorado,2015,clean vehicle,94150.0
578,29900,ford,f-150,2019,clean vehicle,17159.0
579,7200,chevrolet,van,2015,clean vehicle,80711.0
580,27502,ford,f-150,2019,clean vehicle,17983.0
581,4500,chevrolet,door,2013,clean vehicle,119981.0
582,27402,ford,f-150,2019,clean vehicle,17851.0
583,1500,chevrolet,sonic,2013,clean vehicle,66079.0
584,26602,ford,f-150,2019,clean vehicle,18174.0
585,10200,chevrolet,sonic,2019,clean vehicle,7654.0
586,29900,ford,f-150,2019,clean vehicle,18759.0
587,14000,chevrolet,colorado,2019,clean vehicle,11564.0
588,28500,ford,f-150,2019,clean vehicle,18901.0
589,8000,chevrolet,door,2016,clean vehicle,86541.0
590,29809,ford,f-150,2019,clean vehicle,21157.0
591,36900,chevrolet,corvette,2015,clean vehicle,29937.0
592,26902,ford,f-150,2019,clean vehicle,23964.0
593,10950,chevrolet,door,2015,clean vehicle,58504.0
594,27402,ford,f-150,2019,clean vehicle,20154.0
595,16900,acura,mdx,2014,clean vehicle,63500.0
596,25600,ford,f-150,2019,clean vehicle,23294.0
